"Organism","OrganismId","AntimicrobialId","Antimicrobial","CountryId","CountryName","ISO3","code","year","Source","IsolatesTested","value","CILow","CIHigh"
"Enterococcus faecium",2,3,"Vancomycin",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",380,46,41,51
"Enterococcus faecium",2,3,"Vancomycin",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",401,50,45,55
"Escherichia coli",3,4,"Aminoglycosides",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",2958,8,7,9
"Escherichia coli",3,4,"Aminoglycosides",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",3493,8,7,9
"Escherichia coli",3,4,"Aminoglycosides",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",3994,8,7,9
"Escherichia coli",3,2,"Aminopenicillins",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",2958,52,50,54
"Escherichia coli",3,2,"Aminopenicillins",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",3493,52,50,54
"Escherichia coli",3,2,"Aminopenicillins",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",3992,55,53,57
"Escherichia coli",3,15,"Amoxicillin-clavulanate",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",3493,21,20,22
"Escherichia coli",3,15,"Amoxicillin-clavulanate",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",3995,22,21,23
"Escherichia coli",3,5,"Carbapenems",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",2958,0,0,0
"Escherichia coli",3,5,"Carbapenems",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",3493,0,0,0
"Escherichia coli",3,5,"Carbapenems",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",3993,0,0,0
"Escherichia coli",3,6,"Cephalosporins",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",2958,8,7,9
"Escherichia coli",3,6,"Cephalosporins",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",3994,11,10,12
"Escherichia coli",3,7,"Fluoroquinolones",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",2958,10,9,11
"Escherichia coli",3,7,"Fluoroquinolones",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",3493,10,9,11
"Escherichia coli",3,7,"Fluoroquinolones",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",3994,13,12,14
"Escherichia coli",3,14,"Piperacillin-tazobactam",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",3493,3,2,4
"Escherichia coli",3,14,"Piperacillin-tazobactam",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",3974,3,3,4
"Klebsiella pneumoniae",4,4,"Aminoglycosides",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",727,4,3,6
"Klebsiella pneumoniae",4,4,"Aminoglycosides",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",877,6,5,8
"Klebsiella pneumoniae",4,4,"Aminoglycosides",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",974,4,3,5
"Klebsiella pneumoniae",4,15,"Amoxicillin-clavulanate",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",877,10,8,12
"Klebsiella pneumoniae",4,15,"Amoxicillin-clavulanate",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",974,9,7,11
"Klebsiella pneumoniae",4,5,"Carbapenems",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",727,1,0,2
"Klebsiella pneumoniae",4,5,"Carbapenems",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",877,1,0,2
"Klebsiella pneumoniae",4,5,"Carbapenems",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",974,0,0,0
"Klebsiella pneumoniae",4,6,"Cephalosporins",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",727,6,4,8
"Klebsiella pneumoniae",4,6,"Cephalosporins",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",877,8,6,10
"Klebsiella pneumoniae",4,6,"Cephalosporins",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",974,6,5,8
"Klebsiella pneumoniae",4,7,"Fluoroquinolones",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",727,5,4,7
"Klebsiella pneumoniae",4,7,"Fluoroquinolones",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",877,5,4,7
"Klebsiella pneumoniae",4,7,"Fluoroquinolones",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",974,4,3,5
"Klebsiella pneumoniae",4,14,"Piperacillin-tazobactam",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",877,5,4,7
"Klebsiella pneumoniae",4,14,"Piperacillin-tazobactam",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",966,4,3,5
"Staphylococcus aureus",5,17,"Linezolid",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",2010,0,0,0
"Staphylococcus aureus",5,17,"Linezolid",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",2206,0,0,0
"Staphylococcus aureus",5,17,"Linezolid",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",2396,0,0,0
"Staphylococcus aureus",5,8,"Oxacillin (MRSA)",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",2010,19,17,21
"Staphylococcus aureus",5,8,"Oxacillin (MRSA)",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",2206,19,17,21
"Staphylococcus aureus",5,8,"Oxacillin (MRSA)",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",2396,18,17,20
"Staphylococcus aureus",5,9,"Rifampicin",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",2007,0,0,0
"Staphylococcus aureus",5,9,"Rifampicin",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",2153,0,0,0
"Staphylococcus aureus",5,9,"Rifampicin",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",2396,1,1,1
"Staphylococcus aureus",5,3,"Vancomycin",1,"Australia","AUS","AU",2013,"Australian Group on Antimicrobial Resistance (AGAR)",2010,0,0,0
"Staphylococcus aureus",5,3,"Vancomycin",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",2206,0,0,0
"Staphylococcus aureus",5,3,"Vancomycin",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",2395,0,0,0
"Enterobacter aerogenes/cloacae",9,4,"Aminoglycosides",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",343,7,5,10
"Enterobacter aerogenes/cloacae",9,4,"Aminoglycosides",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",457,6,4,8
"Enterobacter aerogenes/cloacae",9,5,"Carbapenems",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",343,3,2,5
"Enterobacter aerogenes/cloacae",9,5,"Carbapenems",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",457,3,2,5
"Enterobacter aerogenes/cloacae",9,6,"Cephalosporins",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",343,28,23,33
"Enterobacter aerogenes/cloacae",9,6,"Cephalosporins",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",457,30,26,34
"Enterobacter aerogenes/cloacae",9,7,"Fluoroquinolones",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",343,4,2,7
"Enterobacter aerogenes/cloacae",9,7,"Fluoroquinolones",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",457,4,2,6
"Enterobacter aerogenes/cloacae",9,14,"Piperacillin-tazobactam",1,"Australia","AUS","AU",2014,"Australian Group on Antimicrobial Resistance (AGAR)",343,19,15,23
"Enterobacter aerogenes/cloacae",9,14,"Piperacillin-tazobactam",1,"Australia","AUS","AU",2015,"Australian Group on Antimicrobial Resistance (AGAR)",407,20,16,24
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2002,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",56,29,18,42
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2003,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",83,33,24,44
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2004,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",185,23,17,29
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2005,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",149,29,22,37
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2006,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",242,29,24,35
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2007,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",170,30,24,37
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2008,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",289,22,18,27
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2009,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",252,31,26,37
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2010,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",312,32,27,37
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2011,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",327,31,26,36
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2012,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",425,29,25,33
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2013,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",503,31,27,35
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2014,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",421,37,32,42
"Enterococcus faecalis",1,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2015,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",501,34,30,38
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2001,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",46,13,6,25
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2002,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",135,3,1,7
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2003,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",236,1,0,3
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2004,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",430,1,0,2
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2005,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",391,1,0,2
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2006,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",454,2,1,4
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2007,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",414,2,1,4
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2008,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",526,2,1,4
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2009,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",486,1,0,2
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2010,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",588,2,1,3
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2011,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",529,1,0,2
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2012,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",604,1,0,2
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2013,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",628,1,0,2
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2014,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",614,2,1,3
"Enterococcus faecalis",1,2,"Aminopenicillins",2,"Austria","AUT","AT",2015,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",623,1,0,2
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2001,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",46,0,0,7
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2002,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",133,1,0,4
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2003,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",243,0,0,1
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2004,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",428,0,0,1
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2005,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",391,1,0,2
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2006,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",412,1,0,2
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2007,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",388,1,0,2
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2008,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",526,1,0,2
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2009,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",494,1,0,2
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2010,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",589,1,0,2
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2011,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",538,1,0,2
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2012,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",651,0,0,0
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2013,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",671,0,0,0
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2014,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",659,0,0,0
"Enterococcus faecalis",1,3,"Vancomycin",2,"Austria","AUT","AT",2015,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",684,0,0,0
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2004,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",77,22,14,32
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2005,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",67,30,20,42
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2006,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",107,21,14,29
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2007,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",120,28,21,36
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2008,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",170,19,14,25
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2009,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",159,31,24,38
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2010,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",165,42,35,50
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2011,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",199,49,42,56
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2012,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",242,38,32,44
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2013,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",317,45,40,50
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2014,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",304,49,43,55
"Enterococcus faecium",2,49,"Aminoglycosides (high-level)",2,"Austria","AUT","AT",2015,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",333,51,46,56
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2002,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",45,84,71,93
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2003,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",78,85,76,92
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2004,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",165,85,79,90
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2005,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",174,85,79,90
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2006,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",242,89,85,92
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2007,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",272,82,77,86
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2008,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",336,91,88,94
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2009,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",307,88,84,91
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2010,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",354,92,89,94
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2011,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",345,91,88,94
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2012,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",351,91,88,94
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2013,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",407,92,89,94
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2014,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",445,94,91,96
"Enterococcus faecium",2,2,"Aminopenicillins",2,"Austria","AUT","AT",2015,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",446,92,89,94
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2002,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",45,7,2,18
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2003,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",82,1,0,6
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2004,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",161,1,0,4
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2005,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",171,1,0,4
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2006,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",212,1,0,3
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2007,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",259,2,1,4
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2008,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",334,2,1,4
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2009,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",310,4,2,7
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2010,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",354,4,2,6
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2011,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",354,5,3,8
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2012,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",376,3,2,5
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2013,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",437,6,4,9
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2014,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",480,4,3,6
"Enterococcus faecium",2,3,"Vancomycin",2,"Austria","AUT","AT",2015,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",483,3,2,5
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2001,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",260,2,1,4
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2002,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",475,4,3,6
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2003,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",982,6,5,8
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2004,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",1834,6,5,7
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2005,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",2048,6,5,7
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2006,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",2472,8,7,9
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2007,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",2539,8,7,9
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2008,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",2982,7,6,8
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2009,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",2561,6,5,7
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2010,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",2910,7,6,8
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2011,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",3137,8,7,9
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2012,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",3702,7,6,8
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2013,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",4367,8,7,9
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2014,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",4726,8,7,9
"Escherichia coli",3,4,"Aminoglycosides",2,"Austria","AUT","AT",2015,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",4884,7,6,8
"Escherichia coli",3,2,"Aminopenicillins",2,"Austria","AUT","AT",2001,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",259,36,30,42
"Escherichia coli",3,2,"Aminopenicillins",2,"Austria","AUT","AT",2002,"European Antimicrobial Resistance Surveillance Network (EARS-Net)",474,34,30,38
